date,goal3Completions,goal5Completions,sessions
2019-01-01,0,0,142
2019-01-02,0,0,214
2019-01-03,0,0,280
2019-01-04,0,0,239
2019-01-05,0,0,130
2019-01-06,0,0,187
2019-01-07,0,0,326
2019-01-08,0,0,338
2019-01-09,0,0,350
2019-01-10,0,0,382
2019-01-11,0,0,283
2019-01-12,0,0,147
2019-01-13,0,0,167
2019-01-14,0,0,358
2019-01-15,0,0,285
2019-01-16,0,0,365
2019-01-17,0,0,328
2019-01-18,0,0,255
2019-01-19,0,0,144
2019-01-20,0,0,183
2019-01-21,0,0,357
2019-01-22,0,0,313
2019-01-23,0,0,336
2019-01-24,0,0,462
2019-01-25,0,0,377
2019-01-26,0,0,238
2019-01-27,0,0,260
2019-01-28,4,3,335
2019-01-29,3,2,473
2019-01-30,3,7,461
2019-01-31,2,3,371
2019-02-01,0,2,467
2019-02-02,4,2,252
2019-02-03,0,1,268
2019-02-04,3,4,417
2019-02-05,3,5,518
2019-02-06,1,8,422
2019-02-07,1,4,467
2019-02-08,0,2,445
2019-02-09,0,2,267
2019-02-10,1,2,276
2019-02-11,0,1,405
2019-02-12,2,1,472
2019-02-13,1,0,347
2019-02-14,1,3,414
2019-02-15,0,3,346
2019-02-16,1,3,248
2019-02-17,0,1,271
2019-02-18,2,4,403
2019-02-19,0,2,369
2019-02-20,1,7,551
2019-02-21,0,1,357
2019-02-22,0,6,327
2019-02-23,0,2,196
2019-02-24,0,0,237
2019-02-25,3,6,606
2019-02-26,1,3,406
2019-02-27,2,4,457
2019-02-28,0,7,423
2019-03-01,2,4,487
2019-03-02,0,0,229
2019-03-03,1,2,276
2019-03-04,1,5,442
2019-03-05,2,4,401
2019-03-06,1,0,407
2019-03-07,1,0,402
2019-03-08,0,0,329
2019-03-09,0,0,188
2019-03-10,0,0,240
2019-03-11,0,2,341
2019-03-12,2,2,361
2019-03-13,0,1,591
2019-03-14,4,2,697
2019-03-15,0,0,461
2019-03-16,0,4,219
2019-03-17,1,1,205
2019-03-18,0,1,457
2019-03-19,1,3,453
2019-03-20,3,0,388
2019-03-21,1,3,425
2019-03-22,0,2,368
2019-03-23,0,1,225
2019-03-24,0,1,236
2019-03-25,0,4,386
2019-03-26,0,2,429
2019-03-27,0,2,439
2019-03-28,0,0,387
2019-03-29,0,2,493
2019-03-30,0,0,215
2019-03-31,0,1,198
2019-04-01,0,3,338
2019-04-02,0,4,401
2019-04-03,0,7,491
2019-04-04,1,4,413
2019-04-05,0,0,428
2019-04-06,2,4,234
2019-04-07,1,0,246
2019-04-08,3,0,382
2019-04-09,1,2,397
2019-04-10,2,1,400
2019-04-11,0,0,389
2019-04-12,1,1,298
2019-04-13,1,1,182
2019-04-14,0,3,208
2019-04-15,3,1,344
2019-04-16,4,0,336
2019-04-17,2,1,306
2019-04-18,0,1,313
2019-04-19,0,1,228
2019-04-20,0,0,148
2019-04-21,0,0,124
2019-04-22,0,1,262
2019-04-23,3,2,510
2019-04-24,2,1,618
2019-04-25,2,0,466
2019-04-26,3,0,488
2019-04-27,1,1,310
2019-04-28,1,1,300
2019-04-29,1,2,537
2019-04-30,1,4,533
2019-05-01,4,2,525
2019-05-02,3,1,450
2019-05-03,1,0,377
2019-05-04,1,1,257
2019-05-05,2,2,247
2019-05-06,3,0,388
2019-05-07,0,4,484
2019-05-08,0,1,504
2019-05-09,2,2,578
2019-05-10,0,2,464
2019-05-11,0,0,257
2019-05-12,0,1,262
2019-05-13,0,0,403
2019-05-14,2,1,452
2019-05-15,0,0,419
2019-05-16,1,0,465
2019-05-17,1,2,417
2019-05-18,0,0,359
2019-05-19,2,0,419
2019-05-20,3,0,607
2019-05-21,1,0,568
2019-05-22,2,0,525
2019-05-23,0,0,546
2019-05-24,1,0,541
2019-05-25,1,0,494
2019-05-26,1,1,300
2019-05-27,3,0,401
2019-05-28,5,1,495
2019-05-29,0,0,444
2019-05-30,3,0,421
2019-05-31,2,0,283
2019-06-01,1,0,222
2019-06-02,1,0,247
2019-06-03,2,0,402
2019-06-04,1,1,436
2019-06-05,0,0,622
2019-06-06,0,2,621
2019-06-07,0,0,529
2019-06-08,0,1,330
2019-06-09,0,2,384
2019-06-10,0,1,468
2019-06-11,0,0,542
2019-06-12,0,0,497
2019-06-13,1,0,537
2019-06-14,1,0,397
2019-06-15,1,1,329
2019-06-16,1,2,328
2019-06-17,1,4,590
