date,city,latitude,longitude,goal3Completions,goal5Completions
2019-01-28,Edinburgh,55.9533,-3.1883,0,1
2019-01-28,Glasgow,55.8642,-4.2518,2,0
2019-01-28,London,51.5074,-0.1278,2,2
2019-01-29,(not set),0.0000,0.0000,1,1
2019-01-29,Falkirk,56.0019,-3.7839,0,1
2019-01-29,Glasgow,55.8642,-4.2518,1,0
2019-01-29,Kirkintilloch,55.9392,-4.1562,1,0
2019-01-30,(not set),0.0000,0.0000,1,2
2019-01-30,Aberdeen,57.1497,-2.0943,0,1
2019-01-30,Edinburgh,55.9533,-3.1883,0,3
2019-01-30,Glasgow,55.8642,-4.2518,1,0
2019-01-30,Irvine,55.6116,-4.6696,1,0
2019-01-30,Newry,54.1751,-6.3402,0,1
2019-01-31,Edinburgh,55.9533,-3.1883,0,2
2019-01-31,Glasgow,55.8642,-4.2518,1,1
2019-01-31,London,51.5074,-0.1278,1,0
2019-02-01,Edinburgh,55.9533,-3.1883,0,1
2019-02-01,Livingston,55.9007,-3.5181,0,1
2019-02-02,Cumbernauld,55.9457,-3.9925,1,0
2019-02-02,Dunfermline,56.0717,-3.4522,0,1
2019-02-02,Glasgow,55.8642,-4.2518,3,1
2019-02-03,Edinburgh,55.9533,-3.1883,0,1
2019-02-04,Edinburgh,55.9533,-3.1883,0,2
2019-02-04,Glasgow,55.8642,-4.2518,3,0
2019-02-04,London,51.5074,-0.1278,0,1
2019-02-04,North Shields,55.0108,-1.4491,0,1
2019-02-05,(not set),0.0000,0.0000,0,1
2019-02-05,Edinburgh,55.9533,-3.1883,0,4
2019-02-05,Glasgow,55.8642,-4.2518,2,0
2019-02-05,Watford,51.6565,-0.3903,1,0
2019-02-06,Edinburgh,55.9533,-3.1883,0,6
2019-02-06,London,51.5074,-0.1278,1,2
2019-02-07,Edinburgh,55.9533,-3.1883,0,2
2019-02-07,Glasgow,55.8642,-4.2518,1,0
2019-02-07,London,51.5074,-0.1278,0,2
2019-02-08,Coatbridge,55.8622,-4.0193,0,1
2019-02-08,Edinburgh,55.9533,-3.1883,0,1
2019-02-09,(not set),0.0000,0.0000,0,1
2019-02-09,Edinburgh,55.9533,-3.1883,0,1
2019-02-10,(not set),0.0000,0.0000,0,1
2019-02-10,Edinburgh,55.9533,-3.1883,0,1
2019-02-10,Renfrew,55.8753,-4.3915,1,0
2019-02-11,Edinburgh,55.9533,-3.1883,0,1
2019-02-12,Alexandria,55.9887,-4.5789,1,0
2019-02-12,Glasgow,55.8642,-4.2518,1,1
