date,deviceCategory,sessions
2019-01-01,desktop,50
2019-01-01,mobile,82
2019-01-01,tablet,10
2019-01-02,desktop,120
2019-01-02,mobile,82
2019-01-02,tablet,12
2019-01-03,desktop,181
2019-01-03,mobile,93
2019-01-03,tablet,6
2019-01-04,desktop,158
2019-01-04,mobile,74
2019-01-04,tablet,7
2019-01-05,desktop,60
2019-01-05,mobile,61
2019-01-05,tablet,9
2019-01-06,desktop,98
2019-01-06,mobile,77
2019-01-06,tablet,12
2019-01-07,desktop,194
2019-01-07,mobile,120
2019-01-07,tablet,12
2019-01-08,desktop,194
2019-01-08,mobile,138
2019-01-08,tablet,6
2019-01-09,desktop,206
2019-01-09,mobile,138
2019-01-09,tablet,6
2019-01-10,desktop,218
2019-01-10,mobile,157
2019-01-10,tablet,7
2019-01-11,desktop,156
2019-01-11,mobile,108
2019-01-11,tablet,19
2019-01-12,desktop,58
2019-01-12,mobile,83
2019-01-12,tablet,6
2019-01-13,desktop,76
2019-01-13,mobile,87
2019-01-13,tablet,4
2019-01-14,desktop,215
2019-01-14,mobile,136
2019-01-14,tablet,7
2019-01-15,desktop,166
2019-01-15,mobile,110
2019-01-15,tablet,9
2019-01-16,desktop,207
2019-01-16,mobile,143
2019-01-16,tablet,15
2019-01-17,desktop,182
2019-01-17,mobile,138
2019-01-17,tablet,8
2019-01-18,desktop,148
2019-01-18,mobile,98
2019-01-18,tablet,9
2019-01-19,desktop,58
2019-01-19,mobile,79
2019-01-19,tablet,7
2019-01-20,desktop,78
2019-01-20,mobile,96
2019-01-20,tablet,9
2019-01-21,desktop,210
2019-01-21,mobile,129
2019-01-21,tablet,18
2019-01-22,desktop,184
2019-01-22,mobile,116
2019-01-22,tablet,13
2019-01-23,desktop,183
2019-01-23,mobile,138
2019-01-23,tablet,15
2019-01-24,desktop,247
2019-01-24,mobile,196
2019-01-24,tablet,19
2019-01-25,desktop,198
2019-01-25,mobile,168
2019-01-25,tablet,11
2019-01-26,desktop,73
2019-01-26,mobile,144
2019-01-26,tablet,21
