date,deviceCategory,goal5Completions
2019-01-01,desktop,0
2019-01-01,mobile,0
2019-01-01,tablet,0
2019-01-02,desktop,0
2019-01-02,mobile,0
2019-01-02,tablet,0
2019-01-03,desktop,0
2019-01-03,mobile,0
2019-01-03,tablet,0
2019-01-04,desktop,0
2019-01-04,mobile,0
2019-01-04,tablet,0
2019-01-05,desktop,0
2019-01-05,mobile,0
2019-01-05,tablet,0
2019-01-06,desktop,0
2019-01-06,mobile,0
2019-01-06,tablet,0
2019-01-07,desktop,0
2019-01-07,mobile,0
2019-01-07,tablet,0
2019-01-08,desktop,0
2019-01-08,mobile,0
2019-01-08,tablet,0
2019-01-09,desktop,0
2019-01-09,mobile,0
2019-01-09,tablet,0
2019-01-10,desktop,0
2019-01-10,mobile,0
2019-01-10,tablet,0
2019-01-11,desktop,0
2019-01-11,mobile,0
2019-01-11,tablet,0
2019-01-12,desktop,0
2019-01-12,mobile,0
2019-01-12,tablet,0
2019-01-13,desktop,0
2019-01-13,mobile,0
2019-01-13,tablet,0
2019-01-14,desktop,0
2019-01-14,mobile,0
2019-01-14,tablet,0
2019-01-15,desktop,0
2019-01-15,mobile,0
2019-01-15,tablet,0
2019-01-16,desktop,0
2019-01-16,mobile,0
2019-01-16,tablet,0
2019-01-17,desktop,0
2019-01-17,mobile,0
2019-01-17,tablet,0
2019-01-18,desktop,0
2019-01-18,mobile,0
2019-01-18,tablet,0
2019-01-19,desktop,0
2019-01-19,mobile,0
2019-01-19,tablet,0
2019-01-20,desktop,0
2019-01-20,mobile,0
2019-01-20,tablet,0
2019-01-21,desktop,0
2019-01-21,mobile,0
2019-01-21,tablet,0
2019-01-22,desktop,0
2019-01-22,mobile,0
2019-01-22,tablet,0
2019-01-23,desktop,0
2019-01-23,mobile,0
2019-01-23,tablet,0
2019-01-24,desktop,0
2019-01-24,mobile,0
2019-01-24,tablet,0
2019-01-25,desktop,0
2019-01-25,mobile,0
2019-01-25,tablet,0
2019-01-26,desktop,0
2019-01-26,mobile,0
2019-01-26,tablet,0
2019-01-27,desktop,0
2019-01-27,mobile,0
2019-01-27,tablet,0
2019-01-28,desktop,2
2019-01-28,mobile,1
2019-01-28,tablet,0
2019-01-29,desktop,1
2019-01-29,mobile,1
2019-01-29,tablet,0
2019-01-30,desktop,5
2019-01-30,mobile,2
2019-01-30,tablet,0
2019-01-31,desktop,0
2019-01-31,mobile,3
2019-01-31,tablet,0
2019-02-01,desktop,1
2019-02-01,mobile,1
2019-02-01,tablet,0
2019-02-02,desktop,1
2019-02-02,mobile,0
2019-02-02,tablet,1
2019-02-03,desktop,1
2019-02-03,mobile,0
2019-02-03,tablet,0
2019-02-04,desktop,2
2019-02-04,mobile,2
2019-02-04,tablet,0
2019-02-05,desktop,4
2019-02-05,mobile,1
2019-02-05,tablet,0
2019-02-06,desktop,6
2019-02-06,mobile,2
2019-02-06,tablet,0
2019-02-07,desktop,1
2019-02-07,mobile,3
2019-02-07,tablet,0
2019-02-08,desktop,1
2019-02-08,mobile,1
2019-02-08,tablet,0
2019-02-09,desktop,1
2019-02-09,mobile,1
2019-02-09,tablet,0
2019-02-10,desktop,0
2019-02-10,mobile,2
2019-02-10,tablet,0
2019-02-11,desktop,1
2019-02-11,mobile,0
2019-02-11,tablet,0
2019-02-12,desktop,1
2019-02-12,mobile,0
2019-02-12,tablet,0
2019-02-13,desktop,0
2019-02-13,mobile,0
2019-02-13,tablet,0
2019-02-14,desktop,3
2019-02-14,mobile,0
2019-02-14,tablet,0
2019-02-15,desktop,0
2019-02-15,mobile,2
2019-02-15,tablet,1
2019-02-16,desktop,1
2019-02-16,mobile,0
2019-02-16,tablet,2
2019-02-17,desktop,0
2019-02-17,mobile,1
2019-02-17,tablet,0
2019-02-18,desktop,1
2019-02-18,mobile,3
2019-02-18,tablet,0
2019-02-19,desktop,2
2019-02-19,mobile,0
2019-02-19,tablet,0
2019-02-20,desktop,2
2019-02-20,mobile,5
2019-02-20,tablet,0
2019-02-21,desktop,1
2019-02-21,mobile,0
2019-02-21,tablet,0
2019-02-22,desktop,4
2019-02-22,mobile,2
2019-02-22,tablet,0
2019-02-23,desktop,1
2019-02-23,mobile,1
2019-02-23,tablet,0
2019-02-24,desktop,0
2019-02-24,mobile,0
2019-02-24,tablet,0
2019-02-25,desktop,4
2019-02-25,mobile,2
2019-02-25,tablet,0
2019-02-26,desktop,0
2019-02-26,mobile,3
2019-02-26,tablet,0
2019-02-27,desktop,4
2019-02-27,mobile,0
2019-02-27,tablet,0
2019-02-28,desktop,5
2019-02-28,mobile,2
2019-02-28,tablet,0
2019-03-01,desktop,1
2019-03-01,mobile,3
2019-03-01,tablet,0
2019-03-02,desktop,0
2019-03-02,mobile,0
2019-03-02,tablet,0
2019-03-03,desktop,1
2019-03-03,mobile,1
2019-03-03,tablet,0
2019-03-04,desktop,3
2019-03-04,mobile,2
2019-03-04,tablet,0
2019-03-05,desktop,1
2019-03-05,mobile,3
2019-03-05,tablet,0
2019-03-06,desktop,0
2019-03-06,mobile,0
2019-03-06,tablet,0
2019-03-07,desktop,0
2019-03-07,mobile,0
2019-03-07,tablet,0
2019-03-08,desktop,0
2019-03-08,mobile,0
2019-03-08,tablet,0
2019-03-09,desktop,0
2019-03-09,mobile,0
2019-03-09,tablet,0
2019-03-10,desktop,0
2019-03-10,mobile,0
2019-03-10,tablet,0
2019-03-11,desktop,2
2019-03-11,mobile,0
2019-03-11,tablet,0
2019-03-12,desktop,0
2019-03-12,mobile,2
2019-03-12,tablet,0
2019-03-13,desktop,1
2019-03-13,mobile,0
2019-03-13,tablet,0
2019-03-14,desktop,2
2019-03-14,mobile,0
2019-03-14,tablet,0
2019-03-15,desktop,0
2019-03-15,mobile,0
2019-03-15,tablet,0
2019-03-16,desktop,3
2019-03-16,mobile,1
2019-03-16,tablet,0
2019-03-17,desktop,1
2019-03-17,mobile,0
2019-03-17,tablet,0
2019-03-18,desktop,1
2019-03-18,mobile,0
2019-03-18,tablet,0
2019-03-19,desktop,3
2019-03-19,mobile,0
2019-03-19,tablet,0
2019-03-20,desktop,0
2019-03-20,mobile,0
2019-03-20,tablet,0
2019-03-21,desktop,1
2019-03-21,mobile,1
2019-03-21,tablet,1
2019-03-22,desktop,0
2019-03-22,mobile,2
2019-03-22,tablet,0
2019-03-23,desktop,0
2019-03-23,mobile,1
2019-03-23,tablet,0
2019-03-24,desktop,0
2019-03-24,mobile,1
2019-03-24,tablet,0
2019-03-25,desktop,1
2019-03-25,mobile,3
2019-03-25,tablet,0
2019-03-26,desktop,2
2019-03-26,mobile,0
2019-03-26,tablet,0
2019-03-27,desktop,2
2019-03-27,mobile,0
2019-03-27,tablet,0
2019-03-28,desktop,0
2019-03-28,mobile,0
2019-03-28,tablet,0
2019-03-29,desktop,1
2019-03-29,mobile,1
2019-03-29,tablet,0
2019-03-30,desktop,0
2019-03-30,mobile,0
2019-03-30,tablet,0
2019-03-31,desktop,1
2019-03-31,mobile,0
2019-03-31,tablet,0
2019-04-01,desktop,0
2019-04-01,mobile,3
2019-04-01,tablet,0
2019-04-02,desktop,4
2019-04-02,mobile,0
2019-04-02,tablet,0
2019-04-03,desktop,4
2019-04-03,mobile,2
2019-04-03,tablet,1
2019-04-04,desktop,1
2019-04-04,mobile,3
2019-04-04,tablet,0
2019-04-05,desktop,0
2019-04-05,mobile,0
2019-04-05,tablet,0
2019-04-06,desktop,2
2019-04-06,mobile,2
2019-04-06,tablet,0
2019-04-07,desktop,0
2019-04-07,mobile,0
2019-04-07,tablet,0
2019-04-08,desktop,0
2019-04-08,mobile,0
2019-04-08,tablet,0
2019-04-09,desktop,1
2019-04-09,mobile,1
2019-04-09,tablet,0
2019-04-10,desktop,1
2019-04-10,mobile,0
2019-04-10,tablet,0
2019-04-11,desktop,0
2019-04-11,mobile,0
2019-04-11,tablet,0
2019-04-12,desktop,0
2019-04-12,mobile,1
2019-04-12,tablet,0
2019-04-13,desktop,0
2019-04-13,mobile,1
2019-04-13,tablet,0
2019-04-14,desktop,0
2019-04-14,mobile,3
2019-04-14,tablet,0
2019-04-15,desktop,0
2019-04-15,mobile,1
2019-04-15,tablet,0
2019-04-16,desktop,0
2019-04-16,mobile,0
2019-04-16,tablet,0
2019-04-17,desktop,1
2019-04-17,mobile,0
2019-04-17,tablet,0
2019-04-18,desktop,1
2019-04-18,mobile,0
2019-04-18,tablet,0
2019-04-19,desktop,1
2019-04-19,mobile,0
2019-04-19,tablet,0
2019-04-20,desktop,0
2019-04-20,mobile,0
2019-04-20,tablet,0
2019-04-21,desktop,0
2019-04-21,mobile,0
2019-04-21,tablet,0
2019-04-22,desktop,0
2019-04-22,mobile,1
2019-04-22,tablet,0
2019-04-23,desktop,1
2019-04-23,mobile,1
2019-04-23,tablet,0
2019-04-24,desktop,0
2019-04-24,mobile,1
2019-04-24,tablet,0
2019-04-25,desktop,0
2019-04-25,mobile,0
2019-04-25,tablet,0
2019-04-26,desktop,0
2019-04-26,mobile,0
2019-04-26,tablet,0
2019-04-27,desktop,1
2019-04-27,mobile,0
2019-04-27,tablet,0
2019-04-28,desktop,1
2019-04-28,mobile,0
2019-04-28,tablet,0
2019-04-29,desktop,1
2019-04-29,mobile,1
2019-04-29,tablet,0
2019-04-30,desktop,3
2019-04-30,mobile,1
2019-04-30,tablet,0
2019-05-01,desktop,2
2019-05-01,mobile,0
2019-05-01,tablet,0
2019-05-02,desktop,1
2019-05-02,mobile,0
2019-05-02,tablet,0
2019-05-03,desktop,0
2019-05-03,mobile,0
2019-05-03,tablet,0
2019-05-04,desktop,0
2019-05-04,mobile,1
2019-05-04,tablet,0
2019-05-05,desktop,0
2019-05-05,mobile,2
2019-05-05,tablet,0
2019-05-06,desktop,0
2019-05-06,mobile,0
2019-05-06,tablet,0
