date,pagePath,exits
2019-05-25,/glasgow/,205
2019-03-13,/data-analysis-announcement/,199
2019-02-20,/,170
2019-10-01,/data-analysis-announcement/,144
2019-03-14,/data-analysis-announcement/,139
2019-03-29,/data-analysis-announcement/,123
2019-02-25,/blog/meet-our-graduates-daniel-at-dog/,116
2019-10-06,/data-analysis-announcement/,113
2019-05-24,/glasgow/,107
2019-07-01,/,106
2019-10-03,/data-analysis-announcement/,106
2019-10-05,/data-analysis-announcement/,101
2019-05-08,/courses/professional-software-development/,100
2019-10-04,/data-analysis-announcement/,98
2019-01-29,/,97
2019-10-08,/data-analysis-announcement/,97
2019-07-03,/,95
2019-07-13,/glasgow/,95
2019-09-03,/,95
2019-07-20,/glasgow/,94
2019-04-29,/glasgow/,92
2019-07-10,/,92
2019-01-10,/about-us/join-us/events-manager/,91
2019-01-30,/blog/claires-coding-journey-from-hobby-to-career/,91
2019-05-09,/courses/professional-software-development/,90
2019-09-12,/,89
2019-04-24,/courses/professional-software-development/,87
2019-07-02,/,87
2019-10-07,/data-analysis-announcement/,87
2019-07-01,/glasgow/,86
2019-09-19,/,86
2019-04-24,/,85
2019-07-02,/glasgow/,85
2019-04-23,/,84
2019-09-30,/,84
2019-05-20,/courses/professional-software-development/,83
2019-06-06,/blog/new-funding-opens-up-careers-in-coding/,83
2019-09-16,/,83
2019-09-23,/,83
2019-04-23,/courses/professional-software-development/,82
2019-07-03,/glasgow/,82
2019-07-21,/glasgow/,82
2019-08-27,/,82
2019-09-17,/,82
2019-01-24,/,81
2019-04-10,/,81
2019-04-30,/glasgow/,81
2019-10-02,/data-analysis-announcement/,81
2019-06-11,/,80
2019-06-29,/glasgow/,80
2019-07-19,/glasgow/,80
2019-09-25,/,80
2019-03-26,/,79
2019-04-26,/,79
2019-05-21,/courses/professional-software-development/,79
2019-09-10,/,79
2019-01-29,/courses/professional-software-development/,78
2019-04-28,/glasgow/,78
2019-04-30,/courses/professional-software-development/,77
2019-05-16,/,77
2019-05-21,/,77
2019-06-26,/glasgow/,77
2019-06-28,/glasgow/,77
2019-02-12,/,76
2019-04-03,/,76
2019-05-01,/courses/professional-software-development/,76
2019-06-21,/glasgow/,76
2019-07-15,/glasgow/,76
2019-08-26,/,76
2019-03-25,/,75
2019-06-13,/,75
2019-06-24,/courses/professional-software-development/,75
2019-07-04,/glasgow/,75
2019-08-01,/,75
2019-09-13,/,75
2019-09-26,/,75
2019-09-27,/,75
2019-06-15,/glasgow/,74
2019-06-23,/glasgow/,74
2019-07-22,/glasgow/,74
2019-09-03,/courses/professional-software-development/,74
2019-09-24,/,74
2019-01-25,/courses/professional-software-development/,73
2019-02-08,/tech-boom/,73
2019-03-13,/,73
2019-04-24,/glasgow/,73
2019-05-09,/blog/leaving-oil-gas-for-a-career-in-tech-roberts-story/,73
2019-06-24,/glasgow/,73
2019-07-06,/glasgow/,73
2019-07-09,/glasgow/,73
2019-01-25,/,72
2019-02-05,/,72
2019-03-06,/,72
2019-05-01,/,72
2019-05-07,/,72
2019-05-13,/courses/professional-software-development/,72
2019-05-16,/glasgow/,72
2019-05-19,/glasgow/,72
2019-05-26,/glasgow/,72
2019-09-02,/,72
2019-09-18,/,72
2019-02-07,/,71
2019-04-29,/courses/professional-software-development/,71
2019-06-12,/,71
2019-07-08,/glasgow/,71
2019-07-16,/glasgow/,71
2019-08-29,/,71
2019-01-23,/courses/professional-software-development/,70
2019-01-28,/,70
2019-02-25,/,70
2019-03-28,/,70
2019-05-20,/,70
2019-06-17,/,70
2019-06-19,/,70
2019-06-20,/,70
2019-06-25,/,70
2019-06-30,/glasgow/,70
2019-07-18,/,70
2019-08-01,/courses/professional-software-development/,70
2019-09-04,/,70
2019-01-24,/courses/professional-software-development/,69
2019-01-29,/blog/claires-coding-journey-from-hobby-to-career/,69
2019-02-12,/courses/professional-software-development/,69
2019-03-05,/,69
2019-09-11,/,69
2019-10-02,/,69
2019-04-15,/,68
2019-05-23,/courses/professional-software-development/,68
2019-07-14,/glasgow/,68
2019-07-23,/glasgow/,68
2019-08-20,/,68
2019-02-21,/,67
2019-02-27,/,67
2019-03-07,/,67
2019-04-12,/,67
2019-05-17,/,67
2019-06-18,/,67
2019-06-27,/glasgow/,67
2019-07-30,/,67
2019-08-08,/courses/professional-software-development/,67
2019-08-28,/,67
2019-10-07,/,67
2019-01-23,/,66
2019-04-26,/courses/professional-software-development/,66
2019-05-02,/courses/professional-software-development/,66
2019-05-09,/,66
2019-05-19,/courses/professional-software-development/,66
2019-05-22,/courses/professional-software-development/,66
2019-01-27,/,65
2019-01-28,/courses/professional-software-development/,65
2019-01-30,/,65
2019-01-31,/tech-boom/,65
2019-03-04,/,65
2019-04-29,/,65
2019-05-14,/,65
2019-05-15,/,65
2019-06-13,/courses/professional-software-development/,65
2019-06-25,/glasgow/,65
2019-07-11,/,65
2019-10-01,/,65
2019-01-03,/,64
2019-01-07,/,64
2019-01-26,/,64
2019-04-05,/courses/edaid-apply/,64
2019-04-27,/glasgow/,64
2019-07-05,/glasgow/,64
2019-07-18,/glasgow/,64
2019-04-16,/,63
2019-05-06,/courses/professional-software-development/,63
2019-05-07,/courses/professional-software-development/,63
2019-05-16,/courses/professional-software-development/,63
2019-05-20,/glasgow/,63
